date,filtered_mean,filtered_variance,smoothed_mean,smoothed_variance,simple_return
2017-06-07,-0.0016914517737308481,3.931142812743355e-5,-0.0017675114864689695,1.60377582254247e-5,-0.001690022075381603
2017-06-08,0.0012675954957128512,3.931142812743355e-5,8.958721825167851e-4,1.60377582254247e-5,0.0012683992344526551
2017-06-09,4.1799206182657907e-4,3.931142812743355e-5,8.513781504313448e-4,1.60377582254247e-5,4.180794326815729e-4
2017-06-12,-0.001502150516944381,3.931142812743355e-5,-0.0016939453886647465,1.60377582254247e-5,-0.0015010228535673464
2017-06-13,3.607895593472728e-4,3.931142812743355e-5,0.001236916319353926,1.60377582254247e-5,3.60854651728415e-4
2017-06-14,-0.0033817124731075465,3.931142812743355e-5,-0.003245327551241734,1.60377582254247e-5,-0.0033760009235689337
2017-06-15,7.992917058425538e-4,3.931142812743355e-5,7.665830461441677e-4,1.60377582254247e-5,7.99611224582053e-4
2017-06-16,2.8031762335619097e-4,3.931142812743355e-5,-1.795069000576472e-4,1.60377582254247e-5,2.803569160125807e-4
2017-06-19,0.0010742005591604037,3.931142812743355e-5,0.0015295240429973312,1.60377582254247e-5,0.0010747777192243735
2017-06-20,-0.002131191765928358,3.931142812743355e-5,-0.002014615312185873,1.60377582254247e-5,-0.002128922389202037
2017-06-21,5.826822652727067e-4,3.931142812743355e-5,3.7433317082555305e-4,1.60377582254247e-5,5.8285205756059e-4
2017-06-22,9.594546129738678e-4,3.931142812743355e-5,5.244700117900461e-4,1.60377582254247e-5,9.599150367911591e-4
2017-06-23,0.0012898800003771378,3.931142812743355e-5,0.0011900628542765592,1.60377582254247e-5,0.0012907122533818427
2017-06-26,-4.1930521937343464e-4,3.931142812743355e-5,-1.2263223440534725e-4,1.60377582254247e-5,-4.1921732322547367e-4
2017-06-27,-4.2543633627181016e-4,3.931142812743355e-5,-8.986203922721191e-4,1.60377582254247e-5,-4.2534585106601686e-4
2017-06-28,0.0012802192632114541,3.931142812743355e-5,0.0018380551892265345,1.60377582254247e-5,0.0012810390937092464
2017-06-29,-0.0025833125611283035,3.931142812743355e-5,-0.0024549355997832496,1.60377582254247e-5,-0.0025799786806703917
2017-06-30,2.3681319916154175e-4,3.931142812743355e-5,4.996731663342948e-4,1.60377582254247e-5,2.3684124162071107e-4
2017-07-04,-8.801119592983129e-4,3.931142812743355e-5,-0.0010212405574380364,1.60377582254247e-5,-8.797247743649317e-4
2017-07-05,6.028241358449202e-4,3.931142812743355e-5,8.268465931848458e-4,1.60377582254247e-5,6.030058708306196e-4
2017-07-06,-0.0013568027832100797,3.931142812743355e-5,-0.0010186947971015043,1.60377582254247e-5,-0.001355882742465453
2017-07-07,-4.2433697551719316e-4,3.931142812743355e-5,-6.98981415468008e-4,1.60377582254247e-5,-4.242469573159102e-4
2017-07-10,0.0013580107518496338,3.931142812743355e-5,0.001132467949158793,1.60377582254247e-5,0.00135893326599823
