date,filtered_mean,filtered_variance,simple_return
2018-02-01,-5.085599284363135e-4,1.116209312636281e-9,-5.084306337548306e-4
2018-02-02,-6.7348512220815e-4,9.681996219993725e-10,-6.732583820081572e-4
2018-02-05,-7.394724598587958e-4,8.611320839179066e-10,-7.391991174798829e-4
2018-02-06,9.881824397841248e-5,4.971441693510269e-10,9.882312666187332e-5
2018-02-07,-9.085176287166306e-5,5.630464071071339e-10,-9.084763597522194e-5
2018-02-08,-4.6664880256949205e-4,6.861390045436885e-10,-4.6653993895140466e-4
2018-02-09,-3.00480098289514e-4,5.309075933360464e-10,-3.004349586660515e-4
2018-02-12,6.845066096611751e-4,6.329042704573303e-10,6.847409377739311e-4
2018-02-13,1.929269634374753e-4,4.877237121465841e-10,1.929455750409037e-4
2018-02-14,8.97852266005714e-4,7.36387774550012e-10,8.982554560108547e-4
2018-02-15,0.001070527141270994,6.655134409056737e-10,0.0010711003599814806
2018-02-16,9.174318708143829e-4,6.571792551160981e-10,9.17852840160327e-4
2018-02-20,3.844149426463566e-4,5.60546797677794e-10,3.844888395392321e-4
2018-02-21,8.790403081157332e-4,6.936906180482069e-10,8.794267772798126e-4
2018-02-22,3.4681260936388975e-4,5.143512686298431e-10,3.468727558098017e-4
2018-02-23,9.898486967052484e-4,5.300437844794696e-10,9.903387586087664e-4
2018-02-26,0.0010841885745734394,8.632486162440115e-10,0.0010847765194679226
2018-02-27,2.3177611615981449e-4,3.7485019510974215e-10,0.00023180297831904007
2018-02-28,-3.7428192956389023e-4,6.577279280747269e-10,-3.742118948203421e-4
2018-03-01,-3.871334638555075e-4,5.314775486700259e-10,-3.8705853736520357e-4
2018-03-02,-8.648478409435499e-5,5.019313331749332e-10,-8.648104439323845e-5
2018-03-05,8.163953038163731e-4,1.3331925181812535e-9,8.167286451690181e-4
2018-03-06,4.843082931542164e-4,6.342239579685707e-10,4.8442558935080093e-4
2018-03-07,-1.7264034724876994e-4,5.542265514505136e-10,-1.7262544576157612e-4
