Date,EqualWeight,Omega,CVaR,MV,MVEU,scenario
2024-03-11,1.0200896058491047,1.0628011048779078,1.0307026933651944,1.0306970445901193,1.03014356347895,gaussian
2024-03-12,1.0204355096201483,1.0630064938340658,1.030901960511971,1.0308962293568005,1.0303446904039857,gaussian
2024-03-13,1.0212392265678727,1.0632119224821504,1.0311015162353672,1.031095452616433,1.0305521599227743,gaussian
2024-03-14,1.0203592761302072,1.0634173908298319,1.0313001909534345,1.031294714376456,1.0307364888497395,gaussian
2024-03-15,1.0208412828118247,1.0636228988847825,1.0314996479563465,1.0314940146443092,1.0309396055221929,gaussian
2024-03-18,1.0207649970313974,1.0638284466546757,1.031698838344232,1.0316933534274348,1.0311350689751602,gaussian
2024-03-19,1.0210435191446174,1.0640340341471866,1.031898261122846,1.0318927307332761,1.0313354579448344,gaussian
2024-03-20,1.0221209331073424,1.0642396613699916,1.0320981590260228,1.0320921465692774,1.0315468910622705,gaussian
2024-03-21,1.0221743141466337,1.0644453283307687,1.032297535848996,1.0322916009428849,1.031744255860648,gaussian
2024-03-22,1.02171426827572,1.0646510350371974,1.032496670783936,1.032491093861546,1.031934589976516,gaussian
2024-03-25,1.021738052783255,1.0648567814969585,1.0326961084273563,1.0326906253327095,1.0321316215280703,gaussian
2024-03-26,1.0216920126052584,1.0650625677177346,1.032895546429114,1.032890195363826,1.0323277286362726,gaussian
2024-03-27,1.0229118821401328,1.0652683937072094,1.0330957150329676,1.0330898039623475,1.0325413189848753,gaussian
2024-03-28,1.0230257010883073,1.0654742594730686,1.0332953175465547,1.033289451135727,1.0327397055752339,gaussian
2024-04-01,1.0232196531224336,1.0656769414816154,1.0334918778925826,1.0334860107236328,1.0329361515664963,gaussian
2024-04-02,1.0226814524454915,1.0658796620457596,1.0336880757002997,1.033682607702486,1.0331225534559694,gaussian
2024-04-03,1.0231646286763814,1.0660824211728355,1.033884868885423,1.0338792420793996,1.0333230582951123,gaussian
2024-04-04,1.0228174911896113,1.0662852188701788,1.0340812456885782,1.0340759138614877,1.0335121614700167,gaussian
2024-04-05,1.0242139445238914,1.0664880551451266,1.034278613012088,1.0342726230558654,1.0337253278495802,gaussian
