window_id,est_start_date,est_end_date,test_start_date,test_end_date,w_rf,w_tsx,portfolio_mean,portfolio_std,portfolio_sharpe,cumulative_wealth,num_test_days,scenario,gamma
18,2019-07-09,2020-07-08,2020-07-09,2020-10-07,0.9999999770762624,2.292336499296798e-08,6.758745532365038e-06,1.8921039551853936e-06,3.5720793848786165,1.0004258900822751,63,gaussian,1.0
19,2019-10-08,2020-10-07,2020-10-08,2021-01-08,0.9999999964006246,3.599130423050997e-09,3.2425520623735746e-06,3.904183044785547e-07,8.305327965358462,1.0002043013106048,63,gaussian,1.0
20,2020-01-09,2021-01-08,2021-01-11,2021-04-09,2.134019105461049e-09,0.999999997865736,0.0001905780487860719,0.001954106061401545,0.09752697284475104,1.0119559615860878,63,gaussian,1.0
21,2020-04-08,2021-04-09,2021-04-12,2021-07-09,3.62867419846959e-10,0.9999999996369713,0.00016737775755920785,0.0013537129260786512,0.12364346556404467,1.0105413972827377,63,gaussian,1.0
22,2020-07-09,2021-07-09,2021-07-12,2021-10-08,7.68861601701443e-10,0.9999999992309451,1.0498402101938216e-05,0.0013736124056058265,0.007642914448860075,1.0006021266170508,63,gaussian,1.0
23,2020-10-08,2021-10-08,2021-10-12,2022-01-11,1.0129556069127114e-09,0.999999998986737,0.0001345559692595302,0.0019349721984037098,0.06953896772808135,1.008393500407693,63,gaussian,1.0
24,2021-01-11,2022-01-11,2022-01-12,2022-04-11,2.020035261673097e-09,0.999999997979747,6.103432939262448e-05,0.0018035216248014434,0.03384175080204208,1.003749609615502,63,gaussian,1.0
25,2021-04-12,2022-04-11,2022-04-12,2022-07-12,2.919274352689108e-09,0.9999999970805349,-0.0004523217033712575,0.00291265087900395,-0.1552955442177607,0.9716395083143143,63,gaussian,1.0
26,2021-07-12,2022-07-12,2022-07-13,2022-10-12,0.9999999960246201,3.974998360025271e-09,0.00010713159835021928,2.800285849156018e-05,3.825737946806674,1.0067717296704437,63,gaussian,1.0
27,2021-10-12,2022-10-12,2022-10-13,2023-01-12,0.9999999986610222,1.3387357232167175e-09,0.0001571331086871121,1.0055128605986152e-05,15.627160511260447,1.009947758223549,63,gaussian,1.0
28,2022-01-12,2023-01-12,2023-01-13,2023-04-13,0.9999999966809964,3.318780729926774e-09,0.0001689824769801254,3.8171819993497036e-06,44.268907536741324,1.0107018557568863,63,gaussian,1.0
29,2022-04-12,2023-04-13,2023-04-14,2023-07-13,0.9999999985710293,1.4287439686731968e-09,0.00018159144566251987,8.40055709756187e-06,21.61659560831078,1.0115048983299813,63,gaussian,1.0
30,2022-07-13,2023-07-13,2023-07-14,2023-10-13,0.9999999983117407,1.6881286719228003e-09,0.00019511129614363138,2.74145132455585e-06,71.1708044552795,1.0123666548593944,63,gaussian,1.0
31,2022-10-13,2023-10-13,2023-10-16,2024-01-15,0.999999998333891,1.6657801388448245e-09,0.0001922193321243864,2.7033522112037108e-06,71.10406528892426,1.0121822605148258,63,gaussian,1.0
32,2023-01-13,2024-01-15,2024-01-16,2024-04-15,0.9999999994097352,5.900961682745858e-10,0.00019164373131337644,1.4639956589141504e-06,130.90457621678956,1.0121455637735006,63,gaussian,1.0
33,2023-04-14,2024-04-15,2024-04-16,2024-07-15,0.9999999990005534,9.99229694031298e-10,0.0001871028674602768,1.436907659497522e-06,130.21217210694357,1.0118561110372202,63,gaussian,1.0
34,2023-07-14,2024-07-15,2024-07-16,2024-10-15,0.9999999981850031,1.8147983034102732e-09,0.00016325437105368,1.4583904036252789e-05,11.194147372874982,1.0103372431540343,63,gaussian,1.0
35,2023-10-16,2024-10-15,2024-10-16,2025-01-15,2.577662793505637e-07,0.9999997422332932,5.161257226217866e-05,0.0014161357923973836,0.03644606155657112,1.0031933688002728,63,gaussian,1.0
36,2024-01-16,2025-01-15,2025-01-16,2025-04-15,0.9999999951251256,4.874433991979525e-09,0.0001282079725926346,1.1406210244031747e-05,11.24019019899435,1.0081092840068027,63,gaussian,1.0
37,2024-04-16,2025-04-15,2025-04-16,2025-07-16,0.9999999897627988,1.023676148185491e-08,0.00010373353128388629,1.4128677925921694e-07,734.2055061894205,1.0065562724069923,63,gaussian,1.0
38,2024-07-16,2025-07-16,2025-07-17,2025-10-16,1.1490052270198671e-07,0.9999998850990949,0.0003306234497978771,0.001476239876728795,0.22396322915385997,1.0209742064341258,63,gaussian,1.0
