window_id,est_start_date,est_end_date,test_start_date,test_end_date,w_rf,w_tsx,portfolio_mean,portfolio_std,portfolio_sharpe,cumulative_wealth,num_test_days,scenario,gamma
15,2018-10-05,2019-10-07,2019-10-08,2020-01-08,1.1040407761968533e-08,0.9999999889594464,0.0007098354909543774,0.0029722034089148543,0.2388246675262165,1.0454274170264237,63,unfiltered,1.0
16,2019-01-08,2020-01-08,2020-01-09,2020-04-07,1.1765608705911866e-10,0.9999999998821671,-0.0029663488213847286,0.03734931568882017,-0.07942177163563537,0.7930019565870053,63,unfiltered,1.0
17,2019-04-08,2020-04-07,2020-04-08,2020-07-08,0.9999999996885195,3.11439019440585e-10,8.95306660150836e-06,8.062224743975688e-07,11.104957856946784,1.0005641997513168,63,unfiltered,1.0
18,2019-07-09,2020-07-08,2020-07-09,2020-10-07,0.9999999966520398,3.3478854537436e-09,6.758744765106197e-06,1.8921044348732084e-06,3.572078073776676,1.0004258900339178,63,unfiltered,1.0
19,2019-10-08,2020-10-07,2020-10-08,2021-01-08,0.9999998212230602,1.7877670766712528e-07,3.2428215685807503e-06,3.903670589814457e-07,8.307108640370403,1.0002043182929112,63,unfiltered,1.0
20,2020-01-09,2021-01-08,2021-01-11,2021-04-09,0.023396510510479675,0.976603489489367,0.0010149015402713866,0.007326408802273511,0.13852646878733346,1.064193091742003,63,unfiltered,1.0
21,2020-04-08,2021-04-09,2021-04-12,2021-07-09,3.2076020300072114e-11,0.9999999999678274,0.0008423877094967449,0.005247234464398625,0.1605393689213179,1.05356771374905,63,unfiltered,1.0
22,2020-07-09,2021-07-09,2021-07-12,2021-10-08,1.1499007288071256e-10,0.9999999998846961,0.00013834345853714253,0.005431463483107935,0.025470751845685077,1.0078142354247561,63,unfiltered,1.0
23,2020-10-08,2021-10-08,2021-10-12,2022-01-11,1.2608928595966157e-10,0.9999999998736057,0.0006833161761814693,0.007646318487396116,0.08936538247887793,1.0420497331565324,63,unfiltered,1.0
24,2021-01-11,2022-01-11,2022-01-12,2022-04-11,6.499972021985312e-11,0.9999999999349429,0.00041008230543189433,0.007726498031512722,0.053074795820740914,1.024239908238061,63,unfiltered,1.0
25,2021-04-12,2022-04-11,2022-04-12,2022-07-12,2.2439329440571563e-09,0.9999999977558149,-0.0023705948920026165,0.012003700629097372,-0.19748867163982872,0.8571900422757276,63,unfiltered,1.0
26,2021-07-12,2022-07-12,2022-07-13,2022-10-12,0.9999999982969994,1.7027223982743083e-09,0.00010713159826743624,2.800285707724171e-05,3.8257381370740027,1.0067717296651963,63,unfiltered,1.0
27,2021-10-12,2022-10-12,2022-10-13,2023-01-12,0.9999999997695995,2.3020168814860908e-10,0.00015713310883105208,1.0055128637564057e-05,15.627160476498782,1.009947758232704,63,unfiltered,1.0
28,2022-01-12,2023-01-12,2023-01-13,2023-04-13,0.9999999994150299,5.847684864736853e-10,0.00016898247744676298,3.81718212534238e-06,44.26890619781633,1.0107018557865943,63,unfiltered,1.0
29,2022-04-12,2023-04-13,2023-04-14,2023-07-13,0.9999999995204415,4.792637493959047e-10,0.00018159144579382125,8.400557249720801e-06,21.616595232400396,1.0115048983383468,63,unfiltered,1.0
30,2022-07-13,2023-07-13,2023-07-14,2023-10-13,2.948698677092945e-10,0.9999999997050439,-0.0006210718268556378,0.0076842754010168065,-0.08082373346138215,0.9598226992283392,63,unfiltered,1.0
31,2022-10-13,2023-10-13,2023-10-16,2024-01-15,1.1855902807835942e-09,0.9999999988137034,0.001280348090708146,0.007271974912550818,0.17606607642421493,1.0821563059091561,63,unfiltered,1.0
32,2023-01-13,2024-01-15,2024-01-16,2024-04-15,6.402024444170733e-09,0.9999999935977985,0.0005232074328523513,0.0063101072111567446,0.08291577549225806,1.0322050153589655,63,unfiltered,1.0
33,2023-04-14,2024-04-15,2024-04-16,2024-07-15,9.837082084446254e-09,0.9999999901626241,0.0007424416267875847,0.006375185443592366,0.11645804398267429,1.0465267122242232,63,unfiltered,1.0
34,2023-07-14,2024-07-15,2024-07-16,2024-10-15,3.4519846801549736e-10,0.9999999996546083,0.0011618173052206843,0.0071424174642684074,0.16266443554061963,1.0741659061988234,63,unfiltered,1.0
35,2023-10-16,2024-10-15,2024-10-16,2025-01-15,1.3187843495706588e-10,0.9999999998678201,0.0002443324986232858,0.006066705324354394,0.040274331051226256,1.0143295447646319,63,unfiltered,1.0
36,2024-01-16,2025-01-15,2025-01-16,2025-04-15,3.4800229598478207e-10,0.999999999651795,-0.00036771099680760503,0.014199603824529918,-0.025895863106573554,0.9708987197088688,63,unfiltered,1.0
37,2024-04-16,2025-04-15,2025-04-16,2025-07-16,1.6316636591682487e-09,0.9999999983681358,0.0019256971716263538,0.004349555837638643,0.4427342109192941,1.1281831632290147,63,unfiltered,1.0
38,2024-07-16,2025-07-16,2025-07-17,2025-10-16,8.604628891157324e-11,0.9999999999138238,0.0018433083206431738,0.00601521883636929,0.3064407747725054,1.1217471653580968,63,unfiltered,1.0
