date,adjusted,volume
2016-05-02,13865.599609375,240760400
2016-05-03,13707.7001953125,254404600
2016-05-04,13632,242917200
2016-05-05,13632,241876000
2016-05-06,13701.5,236543900
2016-05-09,13563.7998046875,200744000
2016-05-10,13775.2001953125,217463600
2016-05-11,13788.2001953125,256547100
2016-05-12,13787.7998046875,229066300
2016-05-13,13748.599609375,221864700
2016-05-16,13893.5,213145800
2016-05-17,13917.099609375,237676600
2016-05-18,13826,270185000
2016-05-19,13817.2998046875,245226900
2016-05-20,13919.599609375,192297500
2016-05-24,13952.900390625,212998300
2016-05-25,14053.7001953125,225244200
2016-05-26,14049.2001953125,205325900
2016-05-27,14105.2001953125,178296600
2016-05-30,14086.7001953125,69147900
2016-05-31,14065.7998046875,350396100
2016-06-01,14063.5,197727200
2016-06-02,14137,159506200
2016-06-03,14226.7998046875,225080700
2016-06-06,14276.2001953125,221587400
2016-06-07,14365.599609375,231774800
2016-06-08,14313.099609375,273079700
2016-06-09,14240,204015500
2016-06-10,14037.5,206939200
2016-06-13,13993.900390625,230786000
2016-06-14,13884.2001953125,212739400
2016-06-15,13923.5,233766100
2016-06-16,13882.400390625,252326100
2016-06-17,13901.7998046875,587674500
2016-06-20,14015.099609375,192086300
2016-06-21,14012.2998046875,162875900
2016-06-22,14003.7998046875,193981600
2016-06-23,14131.400390625,179671800
2016-06-24,13891.900390625,278507800
2016-06-27,13689.7998046875,285929200
2016-06-28,13842.7001953125,222712600
2016-06-29,14036.7001953125,235539800
2016-06-30,14064.5,246966800
2016-07-04,14258.900390625,116770200
2016-07-05,14219.599609375,221271900
2016-07-06,14231.099609375,251669000
2016-07-07,14134.5,205373900
2016-07-08,14259.7998046875,202716700
2016-07-11,14361.900390625,209798400
2016-07-12,14477.7001953125,246935900
2016-07-13,14493.7998046875,212665200
2016-07-14,14514.5,391808800
2016-07-15,14482.400390625,150476200
2016-07-18,14532.400390625,130542800
2016-07-19,14524.599609375,145410100
2016-07-20,14533.599609375,194105500
2016-07-21,14565.7998046875,156964900
2016-07-22,14600.7001953125,137583900
2016-07-25,14498.099609375,155254500
2016-07-26,14550,165278900
2016-07-27,14546.5,192825600
2016-07-28,14552.7001953125,199156800
2016-07-29,14582.7001953125,186151000
2016-08-02,14477,198378600
2016-08-03,14512.099609375,178762700
2016-08-04,14528.7998046875,187436400
2016-08-05,14648.7998046875,188564500
2016-08-08,14755.599609375,178590800
2016-08-09,14801.2001953125,170399600
2016-08-10,14775,188370100
2016-08-11,14796.099609375,187329900
2016-08-12,14747.5,187457600
2016-08-15,14777,149004800
2016-08-16,14703.400390625,148229600
2016-08-17,14697.599609375,175492600
2016-08-18,14695.7001953125,149238300
2016-08-19,14687.5,134940000
2016-08-22,14748.2001953125,157517700
2016-08-23,14764.7998046875,153961400
2016-08-24,14626.2001953125,181074800
2016-08-25,14630.7001953125,160458200
2016-08-26,14639.900390625,174591400
2016-08-29,14682,136914200
2016-08-30,14684.900390625,181535700
2016-08-31,14598,239636100
2016-09-01,14683.900390625,218685400
2016-09-02,14795.7001953125,174034400
2016-09-06,14813,209938700
2016-09-07,14796.7998046875,187921700
2016-09-08,14803.2998046875,199097400
2016-09-09,14540,202109000
2016-09-12,14597.099609375,202210600
2016-09-13,14349.099609375,214211600
2016-09-14,14366.5,196523100
2016-09-15,14503.7001953125,189998700
2016-09-16,14450.7001953125,462318200
2016-09-19,14496.2001953125,166805200
2016-09-20,14522,179849200
2016-09-21,14710.7998046875,202742600
2016-09-22,14797.2001953125,195533500
2016-09-23,14697.900390625,178274100
2016-09-26,14619.5,156349500
2016-09-27,14558,183235400
2016-09-28,14731.400390625,230927200
2016-09-29,14754.599609375,217299400
2016-09-30,14725.900390625,220198400
2016-10-03,14689,159504200
2016-10-04,14521,248628900
2016-10-05,14610.599609375,240783000
2016-10-06,14595.5,222987900
2016-10-07,14566.2998046875,192554700
2016-10-11,14549.599609375,183178100
2016-10-12,14619,189874400
2016-10-13,14643.7001953125,212846400
2016-10-14,14585,169896400
2016-10-17,14596.5,140504400
2016-10-18,14752.2998046875,195092700
2016-10-19,14840.5,212995700
2016-10-20,14847.900390625,192647800
2016-10-21,14939,178409000
2016-10-24,14923,175545700
2016-10-25,14870.599609375,202159600
2016-10-26,14807.599609375,239045100
2016-10-27,14833.7998046875,204342200
2016-10-28,14785.2998046875,202493400
2016-10-31,14787.2998046875,187207800
2016-11-01,14778.2998046875,234198000
2016-11-02,14594.7001953125,243386400
2016-11-03,14583.400390625,207046200
2016-11-04,14509.2998046875,212217800
2016-11-07,14652.5,176604500
2016-11-08,14656.7998046875,210500000
2016-11-09,14759.900390625,295775200
2016-11-10,14744.2998046875,314977300
2016-11-11,14555.400390625,276187500
2016-11-14,14598.5,289726600
2016-11-15,14756.099609375,252401800
2016-11-16,14733.2001953125,223987600
2016-11-17,14826.099609375,258580500
2016-11-18,14864,192168000
2016-11-21,15039.900390625,212035000
2016-11-22,15100.400390625,220581500
2016-11-23,15080.900390625,216007400
2016-11-24,15075.2001953125,69559100
2016-11-25,15075.400390625,129196100
2016-11-28,15015.400390625,189238400
2016-11-29,14999.7998046875,192463200
2016-11-30,15082.900390625,367857700
2016-12-01,15027.5,284152100
2016-12-02,15052.5,198304700
2016-12-05,15095.2001953125,227069700
2016-12-06,15125.7998046875,197775600
2016-12-07,15237.7998046875,220647300
2016-12-08,15295.2001953125,210441500
2016-12-09,15312.2001953125,209885700
2016-12-12,15287.7001953125,238602200
2016-12-13,15385.2998046875,226345800
2016-12-14,15197.2001953125,288274400
2016-12-15,15218.2998046875,276846800
2016-12-16,15252.2001953125,635485600
2016-12-19,15269.900390625,206908400
2016-12-20,15293,198547600
2016-12-21,15305.900390625,144851200
2016-12-22,15335.2001953125,150279900
2016-12-23,15328.2001953125,113543700
2016-12-28,15361.099609375,150188800
2016-12-29,15422.099609375,143572300
2016-12-30,15287.599609375,151033900
2017-01-03,15403,201117500
2017-01-04,15516.7998046875,215081200
2017-01-05,15586.599609375,247712500
2017-01-06,15496.099609375,198912100
2017-01-09,15389,186465200
2017-01-10,15426.2998046875,218071500
2017-01-11,15491.5,247770500
2017-01-12,15418.2001953125,240679500
2017-01-13,15497.2998046875,188584200
2017-01-16,15479.2998046875,73294800
2017-01-17,15441.400390625,207465500
2017-01-18,15397.900390625,232023600
2017-01-19,15409.7998046875,183536700
2017-01-20,15547.900390625,209609500
2017-01-23,15480.099609375,189354900
2017-01-24,15610.7001953125,257478800
2017-01-25,15643.7998046875,225249100
2017-01-26,15615.5,196639700
2017-01-27,15575.7998046875,162511800
2017-01-30,15405.099609375,201825700
2017-01-31,15386,250645400
2017-02-01,15402.400390625,219188600
